,28,40,44,time
1,0.0166338458199448,0.0498737035306896,0.0774256459913931,0.0
2,0.0104836598199448,0.0508447855306896,0.0842232199913931,0.001
3,0.0101599658199448,0.0476078455306896,0.0829284439913931,0.002
4,0.00854149581994482,0.0469604575306896,0.0877838539913931,0.003
5,0.00983627181994715,0.0459893755307709,0.0871364659914164,0.004
6,0.027639441820689,0.0560238895508426,0.0897260179988351,0.005
7,0.0214892558678082,0.0599082185980817,0.0706280724700269,0.006
8,0.0208418688976075,0.0615267082716198,0.0738650227680202,0.007
9,0.0124258358611779,0.059908423807783,0.0738651324037243,0.008
10,0.0140443761499191,0.0602331944999929,0.0709525892911361,0.009
11,0.027316140736157,0.0424344054471748,0.0696609191535155,0.01
12,0.0260224041670802,0.0434191648307189,0.0806769094627474,0.011
13,0.0257015219458391,0.0408644910978443,0.0836182732503359,0.012
14,0.025384274342864,0.0399694112028472,0.0794747152205855,0.013
15,0.02539723863448,0.0443236763319068,0.0766911121367454,0.014
16,0.0140914177692242,0.0507285512565901,0.0756310274841871,0.015
17,0.0138067247449364,0.049519084660605,0.085731857241309,0.016
18,0.0109538820566567,0.0498098336788993,0.0898965243585126,0.017
19,0.0129842767295941,0.0461514550756343,0.0911025250878863,0.018
20,0.00598570790799105,0.045394267851668,0.0913584348718554,0.019
21,0.0255710305344822,0.0631248591311542,0.0926715671367672,0.02
22,0.0248107002003649,0.0663700167338817,0.077623301795594,0.021
23,0.0215132923868162,0.0687611243442104,0.0825214216601068,0.022
24,0.0195676729522799,0.0738866642582295,0.0863711953147441,0.023
25,0.01509306711153,0.0752917934450685,0.0875896849072457,0.024
26,0.0310742640498549,0.061657507835485,0.0949417802904942,0.025
27,0.0299642302418357,0.0653551224631209,0.104881552210302,0.026
28,0.0295666176115602,0.0685758081399372,0.112882103907547,0.027
29,0.0311757506077421,0.0793994217961307,0.117320449869366,0.028
30,0.0331718687051786,0.0887441679026388,0.12465756484373,0.029
31,0.021310413735113,0.093026188432161,0.129694123143075,0.03
32,0.0185710208755605,0.099663365747779,0.147941048547549,0.031
33,0.0197714247488637,0.107007072322239,0.156384453280582,0.032
34,0.0171394093353025,0.112759209038447,0.16664172114497,0.033
35,0.0177923914630737,0.120123208533588,0.178998034422682,0.034
36,0.0366162344961176,0.141688938483394,0.189528458753121,0.035
37,0.0328212966045747,0.14861323651382,0.183948479837692,0.036
38,0.0293855862905572,0.158665150495603,0.191347902697517,0.037
39,0.0272759114666247,0.168574278222695,0.202620554458192,0.038
40,0.0281065374170756,0.178632049009211,0.216429611962701,0.039
41,0.0483817089987423,0.165177512990625,0.229820337779367,0.04
42,0.0450461730131826,0.176088149375912,0.247284935923771,0.041
43,0.0430205009497994,0.186735017682821,0.261663473289939,0.042
44,0.0465090930390486,0.197415853563236,0.270977568182431,0.043
45,0.0480635062089713,0.210371923220869,0.280371513881658,0.044
46,0.0395881300404568,0.218135564815858,0.289165318196513,0.045
47,0.0356461332352654,0.227159681199727,0.316102620144599,0.046
48,0.0355872600618447,0.234511651797576,0.333964446410391,0.047
49,0.0368193130507508,0.240821278859347,0.342400648299453,0.048
50,0.0380450583614055,0.250604212183843,0.354981795406,0.049
51,0.0528574021326069,0.273233159870945,0.369095917118014,0.05
52,0.0498559670112409,0.283770698613132,0.361740145904354,0.051
53,0.0478131481154818,0.292239849162626,0.376918296946763,0.052
